id;username;password_hash;role;entity_id
1;mrossi;scrypt:32768:8:1$1wC8vuxiN3pxyB28$a57f751ad4f3297b2c47e9de7736a0841935e996221fbbbafceb6958f02be05b9dbb871094c896e267084b605040ca436e08c0bbf230ef81c7f072c688a8e3d8;doctor;M1
2;fgiacomi;scrypt:32768:8:1$BauUz6hE7u7fZSif$469a051ebfafce82d9c6e2bf5caaf1028dd4b806897fd5266dcbdf877d80a37b7c41aa6882f5b691883fdbbc93c424041927724bb91ec41758fa299e745ef90d;patient;1
3;admin;scrypt:32768:8:1$iAXXAiqSvwrt2S3V$7208f97a09b5fda5187511809a1193ed804bc809a220a89ee171f6c045e07dba602dc1d7c7f11b76e4a2c62d8a775e927083a7fd5841141c5f0b5444ad35ae82;system;SYSTEM1
4;pdimitri;scrypt:32768:8:1$idtgKrOBTlUv8w1Z$6804019d322d6b1e64aa7aabd48ae04e4c11fc65840b20642b223206ee8cfa79bea5ba2c5d757853e64e462032220b31b79f35c8f53897a769c152e630b6192e;doctor;M2
5;pferrari;scrypt:32768:8:1$vejpO5ZqhnJxTg6d$81bcddd474e1ea45744c54b2db1a357fcbe3fb90062ce2529ca9ad1fa68208ca3a47f98489982d8f9e43b2738fc9510a7d2f0e96a0b9ec32efa59348f179a56c;doctor;M3
6;tniccolini;scrypt:32768:8:1$XOVzc8WtLOvT2D8Y$0095c5142ddaf11501bf962fe30bc1e77d8658d306d0df9ee55f0c39a81d214d53981028a741431375132b01bb974c40d9d685ee5256dafb1a8cffb45f3b4395;patient;2
7;cnenz;scrypt:32768:8:1$LjLQ0qYgH417qhIA$a12a0541414512d2cefb10995e77acff5684fc10a601c8935ec9936572a0b40eba98ffc31cd6c88ce4ea5e52d4ce2e01ea94eefb04ffb7aedc14d2eeb5da9802;patient;3
8;anuggets;scrypt:32768:8:1$EZiqsjHqqv7QRbOS$90cf5b49dbd986b248f8d583af83640af88db102c63c713d479a91c7a500dfc10c93e64680fe29ed241f3ef6f40e0cf1ced5db8308683e539e73854fcb666745;patient;4
9;l.bianchi;scrypt:32768:8:1$kIFQRJFj3g6UpqAj$3d7fa603edca3ec6e7d7f5508b0dcff8ee42d3919933cbaabae49ea8059c73f4fc12255398bd6fc73c06c2a747ee78a13dfb37e3def31813a3c070f02e4a28bb;patient;5
10;g.verdi;scrypt:32768:8:1$hmyhnewrkRhD1WCD$781941643b7daed4af8c0d0be71b8f1314f660789e94de3c266dabc8f013975debcea9ce526e7214f7b330b4e233769690be924f046d8939ba1d58eac5ea83bc;patient;6
11;m.esposito;scrypt:32768:8:1$bO8rLTTpWA135UZk$dabd9a0f7ce091893fce6df254cfb2a284322c16c1619a2aa0c8269c04d1d5fe072c9f587ed89a4b37de5882bcce0831dc38979a0c95f5bf77210aad4cf5d1c8;patient;7
12;s.romano;scrypt:32768:8:1$FQQnJkiyMpqVIDBQ$7236a89454eb001cdc7cbdcb2126a92ca0dabbc64c63a25bbbce8cded14d667249f57fa90aaa2c97d97a2f5fa40c77550e4af07710e6229b5de2981fc3b9044e;patient;8
13;a.ricci;scrypt:32768:8:1$oKfeyHccX2GQ0ret$9114aae3f1bfaa000e8f07764d327a7da1e05d85dc46ac6b5198d1fcfc877434960ee58e3540cf8e29799d35b05c681deac5b3c848b9d386623e33dedcf04528;patient;9
14;e.greco;scrypt:32768:8:1$qOxaC92EE3lXdUGn$c65bfbb6557ec5d2dddf723b03c927a546d78dc624d6a792e265d22648ad7ab4be102d288b0ed914c52e4e2827eef184a2bc55e5b9492cadd76d1efbc365191c;patient;10
